Date,Price,Open,High,Low,Vol.,Change %
23-03-2020,13.261,12.615,12.29,12.29,109.94K,9.29%
19-03-2020,12.134,11.975,11.76,11.76,81.76K,3.08%
18-03-2020,11.772,12.61,11.64,11.64,77.37K,-5.79%
17-03-2020,12.495,12.86,12.11,12.11,122.77K,-2.50%
16-03-2020,12.816,15.1,11.77,11.77,111.38K,-19.93%
12-03-2020,16.005,16.72,15.505,15.505,162.45K,-4.60%
11-03-2020,16.776,16.875,16.66,16.66,147.26K,-1.06%
10-03-2020,16.955,17.02,16.79,16.79,56.85K,-0.58%
09-03-2020,17.054,17.49,16.55,16.55,76.90K,-1.95%
05-03-2020,17.393,17.23,17.15,17.15,94.55K,0.85%
04-03-2020,17.246,17.205,17.075,17.075,53.48K,0.34%
03-03-2020,17.188,16.665,16.665,16.665,67.25K,2.68%
02-03-2020,16.739,16.5,16.445,16.445,114.57K,-5.62%
27-02-2020,17.735,17.945,17.63,17.63,221.54K,-0.78%
26-02-2020,17.874,18.035,17.785,17.785,122.38K,-1.95%
25-02-2020,18.229,18.665,17.91,17.91,96.32K,-3.67%
24-02-2020,18.923,18.675,18.585,18.585,153.70K,3.03%
20-02-2020,18.367,18.415,18.255,18.255,114.90K,0.04%
19-02-2020,18.359,18.2,18.2,18.2,98.11K,0.92%
18-02-2020,18.192,17.76,17.76,17.76,93.64K,3.01%
13-02-2020,17.66,17.575,17.575,17.575,56.24K,0.70%
12-02-2020,17.537,17.62,17.48,17.48,69.82K,-0.57%
11-02-2020,17.638,17.77,17.595,17.595,73.62K,-1.05%
10-02-2020,17.826,17.765,17.725,17.725,70.84K,-0.17%
06-02-2020,17.857,17.635,17.635,17.635,68.87K,1.21%
05-02-2020,17.643,17.585,17.56,17.56,60.51K,0.24%
04-02-2020,17.6,17.745,17.585,17.585,59.86K,-0.63%
03-02-2020,17.712,18.135,17.64,17.64,59.68K,-1.77%
30-01-2020,18.032,17.62,17.62,17.62,63.34K,3.12%
29-01-2020,17.487,17.44,17.28,17.28,96.96K,0.17%
28-01-2020,17.458,18.095,17.42,17.42,63.16K,-3.31%
27-01-2020,18.056,18.26,18.04,18.04,110.54K,1.27%
23-01-2020,17.829,17.835,17.59,17.59,68.05K,0.01%
22-01-2020,17.828,17.785,17.675,17.675,69.27K,0.11%
